Parameter,Wave,Buffer,Visualisation
0.000296,0.119906,39.434023,0.147164
0.000297,0.120072,49.581986,0.388753
0.000833,0.120961,39.085101,0.170775
0.000537,0.119943,38.506482,0.155812
0.000333,0.119812,39.214452,0.182941
0.000186,0.121164,49.069290,0.156164
0.000500,0.121202,39.023399,0.236293
0.000666,0.122276,38.949900,0.298107
0.000204,0.128405,48.871886,0.158312
0.000463,0.120443,49.108939,0.372975
0.000667,0.119591,27.590623,0.307921
0.000241,0.120332,39.703943,0.144702
0.000296,0.358106,47.512723,0.168757
0.000241,0.119998,39.133823,0.142886
0.000352,0.213830,38.462168,0.163961
0.000204,0.119850,41.103346,0.247459
0.000185,0.119943,45.419943,0.147312
0.000185,0.119794,39.693148,0.210200
0.000444,0.188868,39.120435,0.269828
0.000537,0.120220,39.220082,0.150423
0.000222,0.119739,49.948684,0.492992
0.001963,0.127554,39.093658,0.156109
0.000278,0.119646,39.578112,0.127887
0.000333,0.120035,47.693239,0.144701
0.000389,0.119573,50.775411,0.314995
0.000259,0.125905,32.375324,0.210238
0.000834,0.120720,34.794858,0.205126
0.000334,0.125053,48.273693,0.129887
0.000185,0.123147,37.873696,0.141220
0.000204,0.120406,38.492056,0.296625
0.000667,0.121332,38.989641,0.171867
0.000463,0.119517,49.946777,0.482140
0.000129,0.120905,38.507149,0.288384
0.002203,0.121312,38.094489,0.198034
0.000463,0.119683,40.564467,0.154016
0.000315,0.126017,48.621762,0.213478
0.000185,0.120887,39.329024,0.278773
0.000148,0.120757,42.398307,0.177145
0.000296,0.119757,46.687794,0.197349
0.000148,0.119887,49.353157,0.156794
0.000314,0.119332,29.764940,0.158257
0.000445,0.119313,39.656594,1.127445
